구분,세부구분,점검항목,체크(예/아니오),점수,증빙자료,메모
사용자성 판단,구조적 통제,원청이 하청 근로자의 근로시간·휴게·연장근로를 사실상 정하거나 승인한다.,,=IF(D2="예",1,0),,
사용자성 판단,구조적 통제,원청의 생산계획·작업일정이 하청 근로조건을 직접 좌우한다.,,=IF(D3="예",1,0),,
사용자성 판단,구조적 통제,원청이 투입인원·임금인상률·수당기준을 직접 제시하거나 사실상 강제한다.,,=IF(D4="예",1,0),,
사용자성 판단,구조적 통제,하청이 근로조건을 자율적으로 정할 재량이 본질적으로 제한된다.,,=IF(D5="예",1,0),,
사용자성 판단,구조적 통제,위 통제가 일시적이 아니라 지속적·반복적으로 이루어진다.,,=IF(D6="예",1,0),,
사용자성 판단,근로조건 영향,원청이 안전보건관리체계(공정·안전절차·설비)를 지배·통제한다.,,=IF(D7="예",1,0),,
사용자성 판단,근로조건 영향,하청이 단독으로 위험요인 제거·안전설비 개선을 하기 어렵다.,,=IF(D8="예",1,0),,
사용자성 판단,근로조건 영향,원청이 복리후생(통근버스·휴게시설 등) 이용기준을 실질적으로 결정한다.,,=IF(D9="예",1,0),,
사용자성 판단,근로조건 영향,원청이 같은 사업장 내 하청 인력의 근무형태를 사실상 통제한다.,,=IF(D10="예",1,0),,
사용자성 판단,보완지표,하청 노무가 원청의 사업체계에 조직적으로 편입되어 있다.,,=IF(D11="예",1,0),,
사용자성 판단,보완지표,하청업체가 특정 원청에 경제적으로 종속되어 있다(전속성 높음 등).,,=IF(D12="예",1,0),,
사용자성 판단,보완지표,원·하청 공정이 단계적으로 밀접 연동되어 상호의존성이 높다.,,=IF(D13="예",1,0),,
오판 방지,제외·주의,단순히 도급계약이 있다는 이유만으로 사용자성 인정으로 보지 않았다.,,=IF(D14="예",1,0),,
오판 방지,제외·주의,도급목적 달성을 위한 일반적 이행관리(요구·협의·조정)와 구분했다.,,=IF(D15="예",1,0),,
오판 방지,제외·주의,구조적 통제를 불법파견 판단과 동일하게 보지 않았다.,,=IF(D16="예",1,0),,
증빙 준비,문서화,생산계획·작업지시·승인권한 문서/시스템 로그를 확보했다.,,=IF(D17="예",1,0),,
증빙 준비,문서화,임금·수당 산정 기준 전달 내역을 확보했다.,,=IF(D18="예",1,0),,
증빙 준비,문서화,안전보건 의사결정 주체(원청/하청)를 문서화했다.,,=IF(D19="예",1,0),,
증빙 준비,문서화,복리후생 운영기준·이용승인 주체를 문서화했다.,,=IF(D20="예",1,0),,
증빙 준비,문서화,하청 재량 범위(인사·근태·임금 결정권)를 문서화했다.,,=IF(D21="예",1,0),,
요약,점수합계,총점,,=SUM(E2:E21),,
요약,위험등급,사용자성 리스크 수준,,=IF(E22>=8,"높음",IF(E22>=4,"중간","낮음")),,
요약,권고조치,권고,,=IF(E23="높음","원청 교섭·컴플라이언스 대응체계 즉시 가동",IF(E23="중간","증빙 보강 및 교섭대응 시나리오 점검","정기 모니터링 유지")),,
